t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1545119381,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119382,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119382,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119383,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119383,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119384,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119384,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119385,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119385,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119386,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119386,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119387,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119387,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119388,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119388,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119389,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119389,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119390,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119390,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119391,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119391,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119392,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119392,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119393,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119393,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119394,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119394,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119395,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119395,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119396,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119396,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119397,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119397,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119398,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119398,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119399,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119399,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119400,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119400,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119401,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119401,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119402,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119402,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119403,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119403,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119404,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119404,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119405,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119405,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119406,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119406,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119407,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119407,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119408,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119408,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119409,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119409,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119410,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119410,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119411,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119411,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119412,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119412,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119413,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119413,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119414,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119414,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119415,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119415,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119416,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119416,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119417,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119417,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119418,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119418,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119419,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119419,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119420,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119420,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119421,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119421,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119422,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119422,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119423,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119423,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119424,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119424,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119425,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119425,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119426,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119426,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119427,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119427,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119428,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119428,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119429,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119429,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119430,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119430,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119431,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119431,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119432,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119432,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119433,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119433,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119434,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119434,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119435,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119435,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119436,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119436,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119437,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119437,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119438,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119438,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119439,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119439,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119440,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119440,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119441,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119441,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119442,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119442,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119443,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119443,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119444,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119444,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119445,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119445,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119446,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119446,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119447,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119447,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119448,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119448,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119449,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119449,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119450,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119450,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119451,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119451,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119452,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119452,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119453,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119453,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119454,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119454,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119455,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119455,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119456,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119456,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119457,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119457,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119458,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119458,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119459,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119459,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119460,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119460,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119461,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119461,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119462,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119462,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119463,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119463,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119464,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119464,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119465,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119465,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119466,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119466,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119467,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119467,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119468,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119468,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119469,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119469,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119470,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119470,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119471,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119471,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119472,0,0.000000,0.000000,0.000000,0.000000,events/second
